supporter_id,snapshot_month,created_at,supporter_type,relationship_type,region,country,status,acquisition_channel,donation_count_lifetime,monetary_donation_count_lifetime,non_monetary_donation_count_lifetime,recurring_donation_count_lifetime,total_monetary_amount_lifetime,total_resolved_value_lifetime,avg_monetary_amount_lifetime,donation_active_days_lifetime,donation_frequency_per_365d_lifetime,donation_recency_days,campaign_count_lifetime,channel_diversity_lifetime,donation_type_diversity_lifetime,social_referral_donation_count_lifetime,trailing_90d_donation_count,trailing_180d_donation_count,trailing_365d_donation_count,trailing_90d_total_resolved_value,trailing_180d_total_resolved_value,trailing_365d_total_resolved_value,trailing_365d_avg_monetary_amount,trailing_365d_recurring_donation_count,trailing_365d_social_referral_donation_count,trailing_365d_campaign_count,future_180d_donation_count,future_180d_recurring_donation_count,future_180d_total_resolved_value,observation_window_complete_180d,label_donor_upgrade_next_180d,label_recurring_conversion_next_180d,label_has_next_monetary_donation_180d,label_next_monetary_amount_180d
7,2023-01-01,2022-01-31,MonetaryDonor,International,Mindanao,USA,Active,Event,1,0,1,1,0.0,9.67,0.0,0,365.0,4,0,1,1,0,1,1,1,9.67,9.67,9.67,0.0,1,0,0,1,1,469.97,True,1,False,True,469.97
19,2023-01-01,2022-04-01,Volunteer,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,0,349.66,349.66,349.66,0,365.0,18,0,1,1,0,1,1,1,349.66,349.66,349.66,349.66,0,0,0,1,0,4.15,True,0,False,False,
27,2023-01-01,2022-05-11,MonetaryDonor,Local,Visayas,Philippines,Active,WordOfMouth,1,0,1,0,0.0,5.45,0.0,0,365.0,15,0,1,1,0,1,1,1,5.45,5.45,5.45,0.0,0,0,0,0,0,0.0,True,0,False,False,
32,2023-01-01,2022-06-05,InKindDonor,Local,Luzon,Philippines,Active,Event,1,1,0,0,338.91,338.91,338.91,0,365.0,9,0,1,1,0,1,1,1,338.91,338.91,338.91,338.91,0,0,0,1,0,2.6,True,0,False,False,
36,2023-01-01,2022-06-25,SocialMediaAdvocate,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,1,0,0,691.35,691.35,691.35,0,365.0,16,0,1,1,0,1,1,1,691.35,691.35,691.35,691.35,0,0,0,3,0,2525.6800000000003,True,1,False,True,826.28
38,2023-01-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,0,1,1,0.0,612.89,0.0,0,365.0,21,0,1,1,0,1,1,1,612.89,612.89,612.89,0.0,1,0,0,2,2,2211.1,True,1,False,True,1757.44
52,2023-01-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,1,0,1,1,0.0,506.18,0.0,0,365.0,14,0,1,1,0,1,1,1,506.18,506.18,506.18,0.0,1,0,0,2,2,815.12,True,1,False,True,803.96
58,2023-01-01,2022-10-13,SocialMediaAdvocate,Local,Luzon,Philippines,Inactive,WordOfMouth,1,0,1,0,0.0,616.42,0.0,0,365.0,22,0,1,1,0,1,1,1,616.42,616.42,616.42,0.0,0,0,0,0,0,0.0,True,0,False,False,
58,2023-02-01,2022-10-13,SocialMediaAdvocate,Local,Luzon,Philippines,Inactive,WordOfMouth,1,0,1,0,0.0,616.42,0.0,0,365.0,50,0,1,1,0,1,1,1,616.42,616.42,616.42,0.0,0,0,0,0,0,0.0,True,0,False,False,
52,2023-02-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,1,0,1,1,0.0,506.18,0.0,0,365.0,42,0,1,1,0,1,1,1,506.18,506.18,506.18,0.0,1,0,0,2,2,815.12,True,1,False,True,803.96
38,2023-02-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,0,1,1,0.0,612.89,0.0,0,365.0,49,0,1,1,0,1,1,1,612.89,612.89,612.89,0.0,1,0,0,2,2,2211.1,True,1,False,True,1757.44
37,2023-02-01,2022-06-30,InKindDonor,PartnerOrganization,Visayas,Philippines,Active,Website,1,0,1,0,0.0,5.92,0.0,0,365.0,26,0,1,1,0,1,1,1,5.92,5.92,5.92,0.0,0,0,0,1,0,502.9,True,1,False,True,502.9
32,2023-02-01,2022-06-05,InKindDonor,Local,Luzon,Philippines,Active,Event,2,1,1,0,338.91,341.51000000000005,338.91,11,66.36363636363636,26,0,2,2,0,2,2,2,341.51000000000005,341.51000000000005,341.51000000000005,338.91,0,0,0,0,0,0.0,True,0,False,False,
27,2023-02-01,2022-05-11,MonetaryDonor,Local,Visayas,Philippines,Active,WordOfMouth,1,0,1,0,0.0,5.45,0.0,0,365.0,43,0,1,1,0,1,1,1,5.45,5.45,5.45,0.0,0,0,0,0,0,0.0,True,0,False,False,
36,2023-02-01,2022-06-25,SocialMediaAdvocate,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,1,0,0,691.35,691.35,691.35,0,365.0,44,0,1,1,0,1,1,1,691.35,691.35,691.35,691.35,0,0,0,3,0,2525.6800000000003,True,1,False,True,826.28
