supporter_id,snapshot_month,created_at,supporter_type,relationship_type,region,country,status,acquisition_channel,donation_count_lifetime,monetary_donation_count_lifetime,non_monetary_donation_count_lifetime,recurring_donation_count_lifetime,total_monetary_amount_lifetime,total_resolved_value_lifetime,avg_monetary_amount_lifetime,donation_active_days_lifetime,donation_frequency_per_365d_lifetime,donation_recency_days,campaign_count_lifetime,channel_diversity_lifetime,donation_type_diversity_lifetime,social_referral_donation_count_lifetime,trailing_90d_donation_count,trailing_180d_donation_count,trailing_365d_donation_count,trailing_90d_total_resolved_value,trailing_180d_total_resolved_value,trailing_365d_total_resolved_value,trailing_365d_avg_monetary_amount,trailing_365d_recurring_donation_count,trailing_365d_social_referral_donation_count,trailing_365d_campaign_count,future_180d_donation_count,future_180d_recurring_donation_count,future_180d_total_resolved_value,observation_window_complete_180d,label_donor_upgrade_next_180d,label_recurring_conversion_next_180d,label_has_next_monetary_donation_180d,label_next_monetary_amount_180d
7,2023-01-01,2022-01-31,MonetaryDonor,International,Mindanao,USA,Active,Event,1,0,1,1,0.0,9.67,0.0,0,365.0,4,0,1,1,0,1,1,1,9.67,9.67,9.67,0.0,1,0,0,1,1,469.97,True,True,False,True,469.97
36,2023-01-01,2022-06-25,SocialMediaAdvocate,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,1,0,0,691.35,691.35,691.35,0,365.0,16,0,1,1,0,1,1,1,691.35,691.35,691.35,691.35,0,0,0,3,0,2525.6800000000003,True,True,False,True,826.28
38,2023-01-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,0,1,1,0.0,612.89,0.0,0,365.0,21,0,1,1,0,1,1,1,612.89,612.89,612.89,0.0,1,0,0,2,2,2211.1,True,True,False,True,1757.44
52,2023-01-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,1,0,1,1,0.0,506.18,0.0,0,365.0,14,0,1,1,0,1,1,1,506.18,506.18,506.18,0.0,1,0,0,2,2,815.12,True,True,False,True,803.96
52,2023-02-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,1,0,1,1,0.0,506.18,0.0,0,365.0,42,0,1,1,0,1,1,1,506.18,506.18,506.18,0.0,1,0,0,2,2,815.12,True,True,False,True,803.96
38,2023-02-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,0,1,1,0.0,612.89,0.0,0,365.0,49,0,1,1,0,1,1,1,612.89,612.89,612.89,0.0,1,0,0,2,2,2211.1,True,True,False,True,1757.44
37,2023-02-01,2022-06-30,InKindDonor,PartnerOrganization,Visayas,Philippines,Active,Website,1,0,1,0,0.0,5.92,0.0,0,365.0,26,0,1,1,0,1,1,1,5.92,5.92,5.92,0.0,0,0,0,1,0,502.9,True,True,False,True,502.9
36,2023-02-01,2022-06-25,SocialMediaAdvocate,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,1,1,0,0,691.35,691.35,691.35,0,365.0,44,0,1,1,0,1,1,1,691.35,691.35,691.35,691.35,0,0,0,3,0,2525.6800000000003,True,True,False,True,826.28
12,2023-02-01,2022-02-25,InKindDonor,PartnerOrganization,Mindanao,Philippines,Active,Website,1,0,1,0,0.0,19.07,0.0,0,365.0,4,0,1,1,0,1,1,1,19.07,19.07,19.07,0.0,0,0,0,2,0,2058.33,True,True,False,True,683.54
7,2023-02-01,2022-01-31,MonetaryDonor,International,Mindanao,USA,Active,Event,1,0,1,1,0.0,9.67,0.0,0,365.0,32,0,1,1,0,1,1,1,9.67,9.67,9.67,0.0,1,0,0,1,1,469.97,True,True,False,True,469.97
3,2023-02-01,2022-01-11,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,250.0,250.0,250.0,0,365.0,6,0,1,1,0,1,1,1,250.0,250.0,250.0,250.0,1,0,0,3,3,769.63,True,True,False,True,460.56
20,2023-02-01,2022-04-06,Volunteer,International,Luzon,Canada,Active,PartnerReferral,2,2,0,2,1815.15,1815.15,907.575,19,38.421052631578945,6,0,1,1,0,2,2,2,1815.15,1815.15,1815.15,907.575,2,0,0,5,5,4493.54,True,True,False,True,1350.34
31,2023-03-01,2022-05-31,MonetaryDonor,Local,Mindanao,Philippines,Active,Website,2,2,0,2,1408.2,1408.2,704.1,19,38.421052631578945,11,0,2,1,1,2,2,2,1408.2,1408.2,1408.2,704.1,2,1,0,2,2,1625.6399999999999,True,True,False,True,1021.77
54,2023-03-01,2022-09-23,SkillsContributor,Local,Visayas,Philippines,Inactive,Event,1,0,1,1,0.0,2.66,0.0,0,365.0,18,0,1,1,0,1,1,1,2.66,2.66,2.66,0.0,1,0,0,10,10,7391.670000000001,True,True,False,True,721.33
52,2023-03-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,1,0,1,1,0.0,506.18,0.0,0,365.0,73,0,1,1,0,1,1,1,506.18,506.18,506.18,0.0,1,0,0,2,2,815.12,True,True,False,True,803.96
37,2023-03-01,2022-06-30,InKindDonor,PartnerOrganization,Visayas,Philippines,Active,Website,1,0,1,0,0.0,5.92,0.0,0,365.0,57,0,1,1,0,1,1,1,5.92,5.92,5.92,0.0,0,0,0,1,0,502.9,True,True,False,True,502.9
36,2023-03-01,2022-06-25,SocialMediaAdvocate,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,2,2,0,0,1517.63,1517.63,758.815,59,12.372881355932204,16,0,2,1,0,2,2,2,1517.63,1517.63,1517.63,758.815,0,0,0,2,0,1699.4,True,True,False,True,1677.73
29,2023-03-01,2022-05-21,Volunteer,PartnerOrganization,Luzon,Philippines,Active,Event,1,0,1,0,0.0,9.94,0.0,0,365.0,27,0,1,1,0,1,1,1,9.94,9.94,9.94,0.0,0,0,0,1,0,1000.5,True,True,False,True,1000.5
38,2023-03-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,2,0,2,2,0.0,1066.55,0.0,59,12.372881355932204,21,0,2,1,0,2,2,2,1066.55,1066.55,1066.55,0.0,2,0,0,1,1,1757.44,True,True,False,True,1757.44
8,2023-03-01,2022-02-05,InKindDonor,Local,Mindanao,Philippines,Active,Church,1,1,0,1,1420.95,1420.95,1420.95,0,365.0,9,0,1,1,1,1,1,1,1420.95,1420.95,1420.95,1420.95,1,1,0,1,1,538.65,True,False,False,True,538.65
7,2023-03-01,2022-01-31,MonetaryDonor,International,Mindanao,USA,Active,Event,1,0,1,1,0.0,9.67,0.0,0,365.0,63,0,1,1,0,1,1,1,9.67,9.67,9.67,0.0,1,0,0,1,1,469.97,True,True,False,True,469.97
6,2023-03-01,2022-01-26,MonetaryDonor,International,Visayas,USA,Active,WordOfMouth,1,0,1,0,0.0,11.87,0.0,0,365.0,9,0,1,1,0,1,1,1,11.87,11.87,11.87,0.0,0,0,0,2,0,1434.7399999999998,True,True,False,True,395.88
3,2023-03-01,2022-01-11,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,250.0,250.0,250.0,0,365.0,37,0,1,1,0,1,1,1,250.0,250.0,250.0,250.0,1,0,0,3,3,769.63,True,True,False,True,460.56
2,2023-03-01,2022-01-06,Volunteer,Local,Mindanao,Philippines,Active,SocialMedia,1,1,0,0,2565.03,2565.03,2565.03,0,365.0,23,0,1,1,0,1,1,1,2565.03,2565.03,2565.03,2565.03,0,0,0,2,0,939.39,True,False,False,True,915.05
1,2023-03-01,2022-01-01,SocialMediaAdvocate,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,774.61,774.61,774.61,0,365.0,6,0,1,1,1,1,1,1,774.61,774.61,774.61,774.61,1,1,0,4,4,1590.05,True,True,False,True,663.94
