post_id,platform,created_at,post_month,day_of_week,post_hour,post_type,media_type,num_hashtags,mentions_count,has_call_to_action,call_to_action_type,content_topic,sentiment_tone,caption_length,features_resident_story,campaign_name,is_boosted,boost_budget_php,impressions,reach,likes,comments,shares,saves,click_throughs,video_views,engagement_rate,profile_visits,follower_count_at_post,watch_time_seconds,avg_view_duration_seconds,subscriber_count_at_post,forwards,engagement_total,engagement_per_1k_reach,click_through_rate,profile_visit_rate,donation_referrals_per_100_clicks,estimated_donation_value_per_click,estimated_donation_value_per_1k_reach,boost_budget_per_1k_impressions,is_video_or_reel,has_campaign_link,is_weekend_post,days_since_previous_post_on_platform,follower_count_delta,donation_referrals,estimated_donation_value_php,label_donation_referral_positive,label_estimated_donation_value_php
757,Facebook,2023-01-17 13:25:00,2023-01-01,Tuesday,13,FundraisingAppeal,Video,1,0,True,DonateNow,Health,Celebratory,137,False,,False,0.0,3513,2099,176,82,38,19,107,2877.0,0.127,51,2489,0.0,0.0,0.0,0.0,315,150.0714626012387,0.050976655550262026,0.02429728442115293,5.607476635514018,252.60841121495326,12877.13196760362,0.0,True,False,False,0.0,0.0,6,27029.1,True,27029.1
16,Facebook,2023-02-09 00:52:00,2023-02-01,Thursday,0,EducationalContent,Photo,2,2,True,SignUp,Reintegration,Grateful,120,False,,False,0.0,1492,1099,29,10,5,2,52,0.0,0.0298,11,1370,0.0,0.0,0.0,0.0,46,41.856232939035486,0.047315741583257506,0.010009099181073703,0.0,0.0,0.0,0.0,False,False,False,22.477083333333333,-1119.0,0,0.0,False,0.0
154,Facebook,2023-02-23 10:40:00,2023-02-01,Thursday,10,EventPromotion,Carousel,2,0,True,ShareStory,Reintegration,Celebratory,136,False,,False,0.0,4014,2606,447,119,119,79,137,0.0,0.25,144,2423,0.0,0.0,0.0,0.0,764,293.1696085955487,0.05257099002302379,0.05525709900230238,0.7299270072992701,32.862627737226276,1727.6208749040675,0.0,False,False,False,14.408333333333333,1053.0,1,4502.18,True,4502.18
610,Facebook,2023-03-09 23:45:00,2023-03-01,Thursday,23,EventPromotion,Text,1,2,True,ShareStory,EventRecap,Celebratory,123,False,,False,0.0,2773,1654,163,37,33,16,54,0.0,0.1114,66,2489,0.0,0.0,0.0,0.0,249,150.54413542926238,0.032648125755743655,0.03990326481257558,0.0,0.0,0.0,0.0,False,False,False,14.54513888888889,66.0,0,0.0,False,0.0
401,Facebook,2023-03-21 20:37:00,2023-03-01,Tuesday,20,FundraisingAppeal,Video,4,1,True,SignUp,Reintegration,Hopeful,138,False,,False,0.0,3584,2500,219,108,67,25,88,3014.0,0.15,108,2479,0.0,0.0,0.0,0.0,419,167.6,0.0352,0.0432,9.090909090909092,180.2022727272727,6343.12,0.0,True,False,False,11.869444444444444,-10.0,8,15857.8,True,15857.8
477,Facebook,2023-03-28 19:51:00,2023-03-01,Tuesday,19,ImpactStory,Video,1,1,False,,Gratitude,Celebratory,147,True,,False,0.0,7073,4093,886,121,275,44,46,3708.0,0.1675,237,2479,0.0,0.0,0.0,0.0,1326,323.9677498167603,0.011238700219887612,0.05790373808942096,136.95652173913044,5728.123478260869,64376.662594673835,0.0,True,False,False,6.968055555555556,0.0,63,263493.68,True,263493.68
337,Facebook,2023-04-02 16:34:00,2023-04-01,Sunday,16,EventPromotion,Photo,2,1,False,,AwarenessRaising,Hopeful,135,False,,True,291.32,2072,1335,56,18,12,6,21,0.0,0.0538,19,2479,0.0,0.0,0.0,0.0,92,68.91385767790263,0.015730337078651686,0.014232209737827715,0.0,0.0,0.0,140.5984555984556,False,False,True,4.863194444444445,0.0,0,0.0,False,0.0
455,Facebook,2023-04-10 11:37:00,2023-04-01,Monday,11,ThankYou,Text,3,3,False,,SafehouseLife,Informative,139,False,,False,0.0,1794,1081,50,21,9,7,20,0.0,0.0641,13,2479,0.0,0.0,0.0,0.0,87,80.48103607770582,0.018501387604070305,0.012025901942645698,0.0,0.0,0.0,0.0,False,False,False,7.79375,0.0,0,0.0,False,0.0
412,Facebook,2023-04-15 08:11:00,2023-04-01,Saturday,8,FundraisingAppeal,Photo,3,0,True,ShareStory,Education,Celebratory,143,False,,False,0.0,5693,3474,301,75,65,25,140,0.0,0.1011,96,2479,0.0,0.0,0.0,0.0,466,134.13932066781808,0.04029936672423719,0.027633851468048358,4.285714285714286,124.65771428571429,5023.626943005182,0.0,False,False,True,4.856944444444444,0.0,6,17452.08,True,17452.08
696,Facebook,2023-04-15 20:34:00,2023-04-01,Saturday,20,ThankYou,Video,2,0,True,LearnMore,AwarenessRaising,Informative,106,False,Summer of Safety,False,0.0,2439,1424,93,50,23,15,63,1843.0,0.1048,63,2489,0.0,0.0,0.0,0.0,181,127.1067415730337,0.04424157303370786,0.04424157303370786,0.0,0.0,0.0,0.0,True,True,True,0.5159722222222223,10.0,0,0.0,False,0.0
718,Facebook,2023-04-29 05:36:00,2023-04-01,Saturday,5,EventPromotion,Photo,4,2,True,DonateNow,DonorImpact,Emotional,112,False,Summer of Safety,False,0.0,1385,868,16,5,7,2,35,0.0,0.0344,10,2489,0.0,0.0,0.0,0.0,30,34.56221198156682,0.04032258064516129,0.01152073732718894,0.0,0.0,0.0,0.0,False,True,True,13.376388888888888,0.0,0,0.0,False,0.0
530,Facebook,2023-04-30 19:12:00,2023-04-01,Sunday,19,Campaign,Photo,3,3,True,DonateNow,Health,Urgent,125,False,,True,2964.3,22487,15093,1885,685,395,181,618,0.0,0.1483,464,2479,0.0,0.0,0.0,0.0,3146,208.44099913867356,0.040946133969389786,0.030742728417147022,6.310679611650485,264.6672653721683,10837.10130524084,131.82283096900431,False,False,True,1.5666666666666667,-10.0,39,163564.37,True,163564.37
92,Facebook,2023-05-01 21:36:00,2023-05-01,Monday,21,Campaign,Video,3,0,True,DonateNow,CampaignLaunch,Grateful,137,False,,False,0.0,4028,2441,183,28,21,17,97,2449.0,0.0806,63,2423,0.0,0.0,0.0,0.0,249,102.0073740270381,0.039737812371978695,0.02580909463334699,1.0309278350515463,49.20443298969072,1955.2765260139288,0.0,True,False,False,1.1,-56.0,1,4772.83,True,4772.83
108,Facebook,2023-05-09 03:24:00,2023-05-01,Tuesday,3,FundraisingAppeal,Photo,4,0,True,ShareStory,Reintegration,Emotional,157,False,Summer of Safety,False,0.0,680,459,14,3,2,1,25,0.0,0.0342,6,2423,0.0,0.0,0.0,0.0,20,43.57298474945534,0.054466230936819175,0.013071895424836602,0.0,0.0,0.0,0.0,False,True,False,7.241666666666666,0.0,0,0.0,False,0.0
788,Facebook,2023-05-13 04:39:00,2023-05-01,Saturday,4,FundraisingAppeal,Video,2,1,True,SignUp,Education,Celebratory,199,False,,False,0.0,3202,1965,100,10,11,5,90,2657.0,0.043,18,2489,0.0,0.0,0.0,0.0,126,64.12213740458016,0.04580152671755725,0.00916030534351145,1.1111111111111112,21.62822222222222,990.6055979643766,0.0,True,False,True,4.052083333333333,66.0,1,1946.54,True,1946.54
