safehouse_id,month_start,month_end,active_residents,avg_education_progress,avg_health_score,process_recording_count,home_visitation_count,incident_count,safehouse_code,safehouse_name,region,city,status,open_date,capacity_girls,capacity_staff,allocated_amount_month,allocation_count_month,allocation_program_diversity_month,allocated_amount_education_month,allocated_amount_maintenance_month,allocated_amount_operations_month,allocated_amount_outreach_month,allocated_amount_transport_month,allocated_amount_wellbeing_month,safehouse_age_months,capacity_utilization_ratio,capacity_gap,active_residents_lag1,avg_education_progress_lag1,avg_health_score_lag1,process_recording_count_lag1,home_visitation_count_lag1,incident_count_lag1,allocated_amount_month_lag1,allocation_count_month_lag1,allocation_program_diversity_month_lag1,capacity_utilization_ratio_lag1,allocated_amount_education_month_lag1,allocated_amount_maintenance_month_lag1,allocated_amount_operations_month_lag1,allocated_amount_outreach_month_lag1,allocated_amount_transport_month_lag1,allocated_amount_wellbeing_month_lag1,active_residents_lag2,avg_education_progress_lag2,avg_health_score_lag2,process_recording_count_lag2,home_visitation_count_lag2,incident_count_lag2,allocated_amount_month_lag2,allocation_count_month_lag2,allocation_program_diversity_month_lag2,capacity_utilization_ratio_lag2,allocated_amount_education_month_lag2,allocated_amount_maintenance_month_lag2,allocated_amount_operations_month_lag2,allocated_amount_outreach_month_lag2,allocated_amount_transport_month_lag2,allocated_amount_wellbeing_month_lag2,active_residents_lag3,avg_education_progress_lag3,avg_health_score_lag3,process_recording_count_lag3,home_visitation_count_lag3,incident_count_lag3,allocated_amount_month_lag3,allocation_count_month_lag3,allocation_program_diversity_month_lag3,capacity_utilization_ratio_lag3,allocated_amount_education_month_lag3,allocated_amount_maintenance_month_lag3,allocated_amount_operations_month_lag3,allocated_amount_outreach_month_lag3,allocated_amount_transport_month_lag3,allocated_amount_wellbeing_month_lag3,active_residents_rolling_mean_3,process_recording_count_rolling_mean_3,home_visitation_count_rolling_mean_3,incident_count_rolling_mean_3,allocated_amount_month_rolling_mean_3,capacity_utilization_ratio_rolling_mean_3,active_residents_rolling_mean_6,process_recording_count_rolling_mean_6,home_visitation_count_rolling_mean_6,incident_count_rolling_mean_6,allocated_amount_month_rolling_mean_6,capacity_utilization_ratio_rolling_mean_6,next_active_residents,next_process_recording_count,next_home_visitation_count,next_incident_count,next_capacity_utilization_ratio,future_window_complete_1m,label_capacity_pressure_next_month,label_next_active_residents
1,2023-01-01,2023-01-31,10,,,0,0,0,SH01,Lighthouse Safehouse 1,Luzon,Quezon City,Active,2022-01-01,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.25,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,1.25,True,True,10.0
9,2023-01-01,2023-01-31,2,,,0,0,0,SH09,Lighthouse Safehouse 9,Mindanao,General Santos,Active,2022-12-27,6,3,329.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,329.02,1,0.3333333333333333,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.3333333333333333,True,False,2.0
2,2023-01-01,2023-01-31,8,,,0,0,0,SH02,Lighthouse Safehouse 2,Visayas,Cebu City,Active,2022-02-15,10,5,962.1,2.0,2.0,345.68,0.0,0.0,616.42,0.0,0.0,11,0.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.8,True,False,8.0
5,2023-01-01,2023-01-31,6,,,0,0,0,SH05,Lighthouse Safehouse 5,Luzon,Baguio City,Active,2022-06-30,11,4,179.13,2.0,2.0,0.0,9.67,169.46,0.0,0.0,0.0,7,0.5454545454545454,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.5454545454545454,True,False,6.0
7,2023-01-01,2023-01-31,8,,,0,0,0,SH07,Lighthouse Safehouse 7,Visayas,Bacolod,Active,2022-09-28,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6666666666666666,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.6666666666666666,True,False,8.0
4,2023-01-01,2023-01-31,8,33.9,3.03,4,0,0,SH04,Lighthouse Safehouse 4,Visayas,Iloilo City,Active,2022-05-16,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.6666666666666666,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,0.6666666666666666,True,False,8.0
6,2023-01-01,2023-01-31,5,,,0,0,0,SH06,Lighthouse Safehouse 6,Mindanao,Cagayan de Oro,Active,2022-08-14,8,5,962.55,2.0,2.0,0.0,349.66,0.0,0.0,0.0,612.89,5,0.625,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.625,True,False,5.0
3,2023-01-01,2023-01-31,7,,,0,0,0,SH03,Lighthouse Safehouse 3,Mindanao,Davao City,Active,2022-04-01,9,4,169.46,1.0,1.0,169.46,0.0,0.0,0.0,0.0,0.0,9,0.7777777777777778,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,0.0,0.7777777777777778,True,False,7.0
8,2023-01-01,2023-01-31,6,,,0,0,0,SH08,Lighthouse Safehouse 8,Visayas,Tacloban,Active,2022-11-12,9,7,351.13,2.0,1.0,0.0,0.0,0.0,0.0,351.13,0.0,2,0.6666666666666666,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.6666666666666666,True,False,6.0
5,2023-02-01,2023-02-28,6,50.0,3.12,0,0,0,SH05,Lighthouse Safehouse 5,Luzon,Baguio City,Active,2022-06-30,11,4,8.52,2.0,1.0,0.0,0.0,8.52,0.0,0.0,0.0,8,0.5454545454545454,5,6.0,,,0.0,0.0,0.0,179.13,2.0,2.0,0.5454545454545454,0.0,9.67,169.46,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,179.13,0.5454545454545454,6.0,0.0,0.0,0.0,179.13,0.5454545454545454,6.0,7.0,2.0,0.0,0.5454545454545454,True,False,6.0
6,2023-02-01,2023-02-28,5,,,0,0,0,SH06,Lighthouse Safehouse 6,Mindanao,Cagayan de Oro,Active,2022-08-14,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.625,3,5.0,,,0.0,0.0,0.0,962.55,2.0,2.0,0.625,0.0,349.66,0.0,0.0,0.0,612.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,962.55,0.625,5.0,0.0,0.0,0.0,962.55,0.625,5.0,0.0,0.0,0.0,0.625,True,False,5.0
9,2023-02-01,2023-02-28,2,,,0,0,0,SH09,Lighthouse Safehouse 9,Mindanao,General Santos,Active,2022-12-27,6,3,728.7,1.0,1.0,728.7,0.0,0.0,0.0,0.0,0.0,2,0.3333333333333333,4,2.0,,,0.0,0.0,0.0,329.02,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,329.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,329.02,0.3333333333333333,2.0,0.0,0.0,0.0,329.02,0.3333333333333333,2.0,0.0,0.0,0.0,0.3333333333333333,True,False,2.0
1,2023-02-01,2023-02-28,10,,,0,0,0,SH01,Lighthouse Safehouse 1,Luzon,Quezon City,Active,2022-01-01,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.25,-2,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,1.25,10.0,0.0,0.0,0.0,0.0,1.25,10.0,1.0,0.0,0.0,1.25,True,True,10.0
8,2023-02-01,2023-02-28,6,,,0,0,0,SH08,Lighthouse Safehouse 8,Visayas,Tacloban,Active,2022-11-12,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6666666666666666,3,6.0,,,0.0,0.0,0.0,351.13,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,351.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,351.13,0.6666666666666666,6.0,0.0,0.0,0.0,351.13,0.6666666666666666,6.0,4.0,1.0,0.0,0.6666666666666666,True,False,6.0
4,2023-02-01,2023-02-28,8,45.9,3.17,2,0,0,SH04,Lighthouse Safehouse 4,Visayas,Iloilo City,Active,2022-05-16,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6666666666666666,4,8.0,33.9,3.03,4.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,0.0,0.0,0.0,0.6666666666666666,8.0,4.0,0.0,0.0,0.0,0.6666666666666666,8.0,1.0,0.0,0.0,0.6666666666666666,True,False,8.0
3,2023-02-01,2023-02-28,7,64.7,3.04,0,1,0,SH03,Lighthouse Safehouse 3,Mindanao,Davao City,Active,2022-04-01,9,4,261.39,2.0,1.0,261.39,0.0,0.0,0.0,0.0,0.0,10,0.7777777777777778,2,7.0,,,0.0,0.0,0.0,169.46,1.0,1.0,0.7777777777777778,169.46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,169.46,0.7777777777777778,7.0,0.0,0.0,0.0,169.46,0.7777777777777778,7.0,1.0,3.0,0.0,0.7777777777777778,True,False,7.0
7,2023-02-01,2023-02-28,8,,,0,0,0,SH07,Lighthouse Safehouse 7,Visayas,Bacolod,Active,2022-09-28,12,4,713.1400000000001,2.0,2.0,694.07,0.0,0.0,0.0,19.07,0.0,5,0.6666666666666666,4,8.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.6666666666666666,8.0,0.0,0.0,0.0,0.0,0.6666666666666666,8.0,0.0,0.0,0.0,0.6666666666666666,True,False,8.0
2,2023-02-01,2023-02-28,8,43.6,3.19,0,0,0,SH02,Lighthouse Safehouse 2,Visayas,Cebu City,Active,2022-02-15,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.8,2,8.0,,,0.0,0.0,0.0,962.1,2.0,2.0,0.8,345.68,0.0,0.0,616.42,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,962.1,0.8,8.0,0.0,0.0,0.0,962.1,0.8,8.0,3.0,4.0,0.0,0.8,True,False,8.0
3,2023-03-01,2023-03-31,7,73.1,3.16,1,3,0,SH03,Lighthouse Safehouse 3,Mindanao,Davao City,Active,2022-04-01,9,4,1511.6799999999998,2.0,2.0,675.17,0.0,836.51,0.0,0.0,0.0,11,0.7777777777777778,2,7.0,64.7,3.04,0.0,1.0,0.0,261.39,2.0,1.0,0.7777777777777778,261.39,0.0,0.0,0.0,0.0,0.0,7.0,,,0.0,0.0,0.0,169.46,1.0,1.0,0.7777777777777778,169.46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.0,0.0,0.5,0.0,215.425,0.7777777777777778,7.0,0.0,0.5,0.0,215.425,0.7777777777777778,7.0,5.0,2.0,0.0,0.7777777777777778,True,False,7.0
9,2023-03-01,2023-03-31,2,,,0,0,0,SH09,Lighthouse Safehouse 9,Mindanao,General Santos,Active,2022-12-27,6,3,689.83,2.0,1.0,0.0,0.0,689.83,0.0,0.0,0.0,3,0.3333333333333333,4,2.0,,,0.0,0.0,0.0,728.7,1.0,1.0,0.3333333333333333,728.7,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,329.02,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,329.02,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,528.86,0.3333333333333333,2.0,0.0,0.0,0.0,528.86,0.3333333333333333,2.0,0.0,0.0,0.0,0.3333333333333333,True,False,2.0
6,2023-03-01,2023-03-31,5,,,0,0,0,SH06,Lighthouse Safehouse 6,Mindanao,Cagayan de Oro,Active,2022-08-14,8,5,840.55,3.0,2.0,0.0,0.0,2.66,0.0,0.0,837.89,7,0.625,3,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,0.0,0.0,0.0,962.55,2.0,2.0,0.625,0.0,349.66,0.0,0.0,0.0,612.89,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,481.275,0.625,5.0,0.0,0.0,0.0,481.275,0.625,5.0,0.0,0.0,0.0,0.625,True,False,5.0
