post_id,platform,created_at,post_month,day_of_week,post_hour,post_type,media_type,num_hashtags,mentions_count,has_call_to_action,call_to_action_type,content_topic,sentiment_tone,caption_length,features_resident_story,campaign_name,is_boosted,boost_budget_php,impressions,reach,likes,comments,shares,saves,click_throughs,video_views,engagement_rate,profile_visits,follower_count_at_post,watch_time_seconds,avg_view_duration_seconds,subscriber_count_at_post,forwards,engagement_total,engagement_per_1k_reach,click_through_rate,profile_visit_rate,donation_referrals_per_100_clicks,estimated_donation_value_per_click,estimated_donation_value_per_1k_reach,boost_budget_per_1k_impressions,is_video_or_reel,has_campaign_link,is_weekend_post,days_since_previous_post_on_platform,follower_count_delta,donation_referrals,estimated_donation_value_php,label_donation_referral_positive,label_estimated_donation_value_php
318,WhatsApp,2023-01-05 18:52:00,2023-01-01,Thursday,18,FundraisingAppeal,Text,0,3,True,LearnMore,Education,Grateful,157,False,,False,0.0,1580,1093,118,36,22,9,48,0.0,0.1105,21,1522,0.0,0.0,0.0,50.0,185,169.25892040256176,0.0439158279963403,0.0192131747483989,20.83333333333333,447.359375,19646.15736505032,0.0,False,False,False,0.0,0.0,10,21473.25,1,21473.25
529,Instagram,2023-01-06 11:30:00,2023-01-01,Friday,11,EducationalContent,Photo,4,0,False,,Education,Celebratory,150,False,,False,0.0,6362,4395,548,110,149,59,85,0.0,0.1745,335,1833,0.0,0.0,0.0,0.0,866,197.04209328782707,0.0193401592718998,0.0762229806598407,2.3529411764705883,55.3935294117647,1071.3196814562002,0.0,False,False,False,0.0,0.0,2,4708.45,1,4708.45
86,LinkedIn,2023-01-08 10:14:00,2023-01-01,Sunday,10,EventPromotion,Text,0,0,False,,Reintegration,Urgent,138,False,,False,0.0,554,336,27,7,12,4,3,0.0,0.1411,8,457,0.0,0.0,0.0,0.0,50,148.8095238095238,0.0089285714285714,0.0238095238095238,0.0,0.0,0.0,0.0,False,False,True,0.0,0.0,0,0.0,0,0.0
380,Instagram,2023-01-09 15:06:00,2023-01-01,Monday,15,ThankYou,Video,2,1,False,,Education,Emotional,113,False,,False,0.0,4309,2948,190,55,45,16,35,3313.0,0.0677,62,1796,0.0,0.0,0.0,0.0,306,103.79918588873812,0.0118724559023066,0.0210312075983717,0.0,0.0,0.0,0.0,True,False,False,3.15,-37.0,0,0.0,0,0.0
425,TikTok,2023-01-09 15:59:00,2023-01-01,Monday,15,ThankYou,Reel,4,1,True,LearnMore,Education,Hopeful,129,False,,True,4030.64,23175,14008,728,232,141,79,474,17974.0,0.0802,172,916,0.0,0.0,0.0,0.0,1180,84.23757852655625,0.0338378069674471,0.0122786978869217,0.4219409282700422,17.619177215189872,596.1943175328383,173.92189859762675,True,False,False,0.0,0.0,2,8351.49,1,8351.49
807,Instagram,2023-01-12 13:41:00,2023-01-01,Thursday,13,EventPromotion,Carousel,3,0,False,,CampaignLaunch,Emotional,132,False,,False,0.0,5998,4215,555,180,109,90,60,0.0,0.1504,270,1833,0.0,0.0,0.0,0.0,934,221.58956109134044,0.0142348754448398,0.0640569395017793,1.6666666666666667,58.61083333333333,834.3179122182681,0.0,False,False,False,2.9409722222222223,37.0,1,3516.65,1,3516.65
757,Facebook,2023-01-17 13:25:00,2023-01-01,Tuesday,13,FundraisingAppeal,Video,1,0,True,DonateNow,Health,Celebratory,137,False,,False,0.0,3513,2099,176,82,38,19,107,2877.0,0.127,51,2489,0.0,0.0,0.0,0.0,315,150.0714626012387,0.050976655550262,0.0242972844211529,5.607476635514018,252.6084112149533,12877.13196760362,0.0,True,False,False,0.0,0.0,6,27029.1,1,27029.1
554,Twitter,2023-01-17 18:22:00,2023-01-01,Tuesday,18,FundraisingAppeal,Photo,3,0,True,DonateNow,CampaignLaunch,Urgent,137,False,,False,0.0,3192,1854,325,118,82,32,92,0.0,0.1851,120,1228,0.0,0.0,0.0,0.0,557,300.4314994606257,0.0496224379719525,0.0647249190938511,15.217391304347826,600.6117391304348,29803.81877022654,0.0,False,False,False,0.0,0.0,14,55256.28,1,55256.28
736,YouTube,2023-01-19 16:38:00,2023-01-01,Thursday,16,EventPromotion,Video,4,0,True,SignUp,Education,Urgent,139,False,,False,0.0,11815,8501,1075,585,298,158,422,13218.0,0.2064,723,620,436194.0,33.0,204.0,0.0,2116,248.9118927185037,0.0496412186801552,0.0850488177861428,0.4739336492890995,14.351777251184831,712.4397129749441,0.0,True,False,False,0.0,0.0,2,6056.45,1,6056.45
148,YouTube,2023-01-19 18:36:00,2023-01-01,Thursday,18,EducationalContent,Video,0,0,False,,Gratitude,Informative,166,False,,False,0.0,11440,6360,388,137,92,53,114,5162.0,0.0863,125,572,320044.0,62.0,204.0,0.0,670,105.34591194968552,0.0179245283018867,0.0196540880503144,0.8771929824561403,40.56,727.0188679245283,0.0,True,False,False,0.0819444444444444,-48.0,1,4623.84,1,4623.84
537,WhatsApp,2023-01-19 19:29:00,2023-01-01,Thursday,19,Campaign,Text,0,0,True,DonateNow,SafehouseLife,Grateful,139,False,,False,0.0,2003,1311,119,23,28,12,65,0.0,0.1183,39,1543,0.0,0.0,0.0,63.0,182,138.82532418001526,0.049580472921434,0.0297482837528604,10.76923076923077,626.7210769230769,31073.127383676583,0.0,False,False,False,14.025694444444444,21.0,7,40736.87,1,40736.87
507,Twitter,2023-01-20 09:37:00,2023-01-01,Friday,9,ImpactStory,Reel,0,1,False,,AwarenessRaising,Grateful,209,True,,False,0.0,4306,2622,123,36,84,16,33,3231.0,0.0825,57,1228,0.0,0.0,0.0,0.0,259,98.77955758962624,0.0125858123569794,0.0217391304347826,36.36363636363637,1205.6439393939395,15174.008390541572,0.0,True,False,False,2.6354166666666665,0.0,12,39786.25,1,39786.25
226,Instagram,2023-01-24 13:34:00,2023-01-01,Tuesday,13,Campaign,Photo,4,0,True,SignUp,AwarenessRaising,Grateful,146,False,,True,4211.14,28562,20000,1513,808,357,231,1018,0.0,0.1359,1099,1782,0.0,0.0,0.0,0.0,2909,145.45,0.0509,0.05495,3.143418467583497,26.94287819253438,1371.3925,147.43855472305862,False,False,False,11.995138888888889,-51.0,32,27427.85,1,27427.85
