feature,coefficient,abs_coefficient
categorical__platform_WhatsApp,-1.849051688965152,1.849051688965152
categorical__platform_Instagram,0.7451321028311225,0.7451321028311225
categorical__has_call_to_action_False,-0.587251495611812,0.587251495611812
categorical__is_video_or_reel_False,-0.5360892157045315,0.5360892157045315
categorical__platform_LinkedIn,-0.5035162397119063,0.5035162397119063
categorical__platform_Facebook,0.47865048636188595,0.47865048636188595
categorical__platform_TikTok,0.47706544063333134,0.47706544063333134
categorical__platform_Twitter,0.3631479429502182,0.3631479429502182
categorical__has_campaign_link_False,-0.3571549746800828,0.3571549746800828
categorical__day_of_week_Friday,-0.2579294744316687,0.2579294744316687
categorical__has_call_to_action_True,0.21406145783340827,0.21406145783340827
categorical__is_boosted_True,-0.21304029538415512,0.21304029538415512
categorical__is_weekend_post_False,-0.1889111749362791,0.1889111749362791
categorical__is_weekend_post_True,-0.1842788628421282,0.1842788628421282
categorical__is_video_or_reel_True,0.1628991779261398,0.1628991779261398
categorical__is_boosted_False,-0.1601497423942568,0.1601497423942568
categorical__day_of_week_Tuesday,-0.1600977599321741,0.1600977599321741
categorical__day_of_week_Monday,0.12589246720841749,0.12589246720841749
numeric__forwards,0.10723905039312001,0.10723905039312001
categorical__day_of_week_Saturday,-0.09792646606324552,0.09792646606324552
