feature,coefficient,abs_coefficient
numeric__capacity_gap,-0.9799383185102576,0.9799383185102576
numeric__capacity_utilization_ratio,0.9027300546213206,0.9027300546213206
numeric__active_residents,0.49678684539352064,0.49678684539352064
numeric__capacity_girls,-0.43283251683436275,0.43283251683436275
categorical__city_Quezon City,0.4156661698057214,0.4156661698057214
categorical__safehouse_name_Lighthouse Safehouse 1,0.4156661698057214,0.4156661698057214
categorical__safehouse_code_SH01,0.4156661698057214,0.4156661698057214
categorical__region_Luzon,0.40374466840748585,0.40374466840748585
numeric__capacity_utilization_ratio_lag1,0.32996433467258035,0.32996433467258035
numeric__capacity_utilization_ratio_rolling_mean_3,0.32996433467258035,0.32996433467258035
numeric__capacity_utilization_ratio_rolling_mean_6,0.3299643346725802,0.3299643346725802
numeric__capacity_utilization_ratio_lag2,0.29946061819369535,0.29946061819369535
categorical__region_Visayas,-0.28400052507352536,0.28400052507352536
numeric__capacity_utilization_ratio_lag3,0.28379260472431284,0.28379260472431284
numeric__safehouse_age_months,-0.24212540317833164,0.24212540317833164
numeric__capacity_staff,-0.23196838878905848,0.23196838878905848
categorical__city_Cebu City,-0.18045945070196928,0.18045945070196928
categorical__safehouse_name_Lighthouse Safehouse 2,-0.18045945070196928,0.18045945070196928
categorical__safehouse_code_SH02,-0.18045945070196928,0.18045945070196928
numeric__active_residents_lag1,0.17605653800758436,0.17605653800758436
