feature,coefficient,abs_coefficient
numeric__home_visit_follow_up_share_90d,1.0552082585607947,1.0552082585607947
numeric__avg_nutrition_score_90d,1.037754530613948,1.037754530613948
numeric__process_concerns_share_90d,1.0083365926566623,1.0083365926566623
categorical__initial_risk_level_Low,-0.9740667711538216,0.9740667711538216
numeric__avg_attendance_rate_90d,0.9058236204972651,0.9058236204972651
numeric__high_severity_incidents_90d,-0.86886211107056,0.86886211107056
categorical__initial_risk_level_Critical,0.8611434257517186,0.8611434257517186
numeric__avg_general_health_score_90d,-0.6932830857995229,0.6932830857995229
numeric__incident_recent_90d_count,-0.6566147471503944,0.6566147471503944
numeric__process_positive_end_state_share_90d,0.6346405677523896,0.6346405677523896
categorical__case_status_Transferred,-0.41220791509517624,0.41220791509517624
categorical__latest_completion_status_Completed,0.4071846344275146,0.4071846344275146
numeric__incident_recent_30d_count,0.40570850824746035,0.40570850824746035
categorical__latest_completion_status_NotStarted,-0.39741268364391275,0.39741268364391275
numeric__visit_follow_up_needed_90d,-0.3740539494045075,0.3740539494045075
numeric__process_progress_share_90d,0.3643108180594654,0.3643108180594654
numeric__process_progress_flags_90d,-0.3450938043622251,0.3450938043622251
numeric__home_visit_supportive_share_90d,0.34099546476475695,0.34099546476475695
numeric__process_recent_90d_count,0.3312979217805102,0.3312979217805102
numeric__unresolved_incidents_cumulative,0.310683939805254,0.310683939805254
