feature,coefficient,abs_coefficient
numeric__home_visit_follow_up_share_90d,-1.0554427130489625,1.0554427130489625
categorical__initial_risk_level_Low,-1.0009075807400418,1.0009075807400418
numeric__avg_sleep_quality_score_90d,0.935524742219271,0.935524742219271
categorical__initial_risk_level_Critical,0.7837344798355174,0.7837344798355174
numeric__process_concerns_share_90d,-0.604393292701875,0.604393292701875
numeric__process_positive_end_state_share_90d,0.5907342001279202,0.5907342001279202
categorical__case_category_Abandoned,-0.5599122117989968,0.5599122117989968
numeric__avg_attendance_rate_90d,0.5462026104746626,0.5462026104746626
numeric__visit_follow_up_needed_90d,0.46608021091196056,0.46608021091196056
numeric__high_severity_incidents_90d,-0.3814179079334976,0.3814179079334976
numeric__unresolved_incidents_cumulative,0.36967316073034684,0.36967316073034684
numeric__avg_energy_level_score_90d,-0.3652200491265318,0.3652200491265318
numeric__avg_nutrition_score_90d,-0.34815972252640104,0.34815972252640104
numeric__process_recent_90d_count,-0.2990467963237231,0.2990467963237231
numeric__latest_nutrition_score,-0.2985419463494613,0.2985419463494613
categorical__latest_completion_status_InProgress,-0.29253909682164886,0.29253909682164886
numeric__home_visit_recent_90d_unfavorable_count,-0.2707345044981832,0.2707345044981832
numeric__latest_energy_level_score,-0.26680266484384507,0.26680266484384507
categorical__latest_completion_status_Completed,0.25322707830345137,0.25322707830345137
categorical__case_category_Neglected,0.2463232899465443,0.2463232899465443
