feature,coefficient,abs_coefficient
numeric__donation_type_diversity,0.9589091953560573,0.9589091953560573
numeric__allocation_safehouse_diversity,0.894979227189988,0.894979227189988
categorical__supporter_type_MonetaryDonor,-0.6541858143087332,0.6541858143087332
categorical__relationship_type_PartnerOrganization,0.6388231404214367,0.6388231404214367
categorical__region_Visayas,-0.47740769809163786,0.47740769809163786
numeric__allocation_program_diversity,-0.468122944509382,0.468122944509382
categorical__supporter_type_Volunteer,0.45502089201535134,0.45502089201535134
numeric__in_kind_category_diversity,-0.4497937461685174,0.4497937461685174
categorical__relationship_type_Local,-0.43819245664490003,0.43819245664490003
categorical__supporter_type_InKindDonor,0.388007152857101,0.388007152857101
numeric__recurring_donation_count,0.3830309085142527,0.3830309085142527
categorical__supporter_type_SkillsContributor,-0.3490231647752656,0.3490231647752656
categorical__country_USA,-0.3443605106968262,0.3443605106968262
categorical__acquisition_channel_Website,-0.33849821805061453,0.33849821805061453
categorical__region_Luzon,0.3252215911564896,0.3252215911564896
categorical__acquisition_channel_Event,0.2997487744133547,0.2997487744133547
numeric__recurring_donation_share,-0.28102037922114675,0.28102037922114675
categorical__country_Canada,0.2555769546986992,0.2555769546986992
numeric__social_referral_donation_count,-0.2308858087414507,0.2308858087414507
categorical__relationship_type_International,-0.21572100300865654,0.21572100300865654
