feature,coefficient,abs_coefficient
categorical__region_Visayas,1.1609737365744022,1.1609737365744022
categorical__status_Active,0.8925931723433197,0.8925931723433197
categorical__acquisition_channel_SocialMedia,0.7524299603959197,0.7524299603959197
categorical__supporter_type_Volunteer,0.7152891685355278,0.7152891685355278
numeric__channel_diversity_lifetime,0.6900737882254165,0.6900737882254165
categorical__relationship_type_International,0.6788958384341518,0.6788958384341518
numeric__donation_type_diversity_lifetime,-0.6691676270081521,0.6691676270081521
categorical__supporter_type_PartnerOrganization,0.6581342368953488,0.6581342368953488
categorical__country_Canada,0.6303951950685774,0.6303951950685774
numeric__recurring_donation_count_lifetime,0.5456000031469979,0.5456000031469979
categorical__supporter_type_SkillsContributor,-0.4926582123125723,0.4926582123125723
numeric__trailing_365d_social_referral_donation_count,0.4544857193362002,0.4544857193362002
categorical__acquisition_channel_WordOfMouth,-0.35939449351686786,0.35939449351686786
categorical__country_Singapore,0.33770704419910497,0.33770704419910497
numeric__non_monetary_donation_count_lifetime,0.3267084368066281,0.3267084368066281
categorical__region_Luzon,-0.3054513954077989,0.3054513954077989
categorical__acquisition_channel_Church,0.2941817690873955,0.2941817690873955
categorical__country_USA,-0.2892064007985469,0.2892064007985469
numeric__social_referral_donation_count_lifetime,0.2190361494058033,0.2190361494058033
categorical__status_Inactive,-0.2143170047558242,0.2143170047558242
