feature,coefficient,abs_coefficient
numeric__months_since_admission,-2.176640986101152,2.176640986101152
numeric__latest_attendance_rate,-0.9818824453146194,0.9818824453146194
categorical__latest_completion_status_Completed,-0.8866999261129248,0.8866999261129248
categorical__latest_completion_status_InProgress,0.7369115950284005,0.7369115950284005
categorical__initial_risk_level_Critical,-0.6948542741706185,0.6948542741706185
categorical__initial_risk_level_Low,0.6801274521347038,0.6801274521347038
numeric__avg_sleep_quality_score_90d,0.6419881877041422,0.6419881877041422
numeric__avg_general_health_score_90d,0.6073612150927424,0.6073612150927424
numeric__home_visit_recent_90d_count,-0.5062274741091395,0.5062274741091395
numeric__latest_nutrition_score,-0.4718989145387702,0.4718989145387702
numeric__process_progress_share_90d,0.4387539221318778,0.4387539221318778
numeric__avg_nutrition_score_90d,0.4086048456224697,0.4086048456224697
numeric__home_visit_recent_90d_unfavorable_count,-0.4050251210959626,0.4050251210959626
numeric__avg_attendance_rate_90d,0.3877357289996753,0.3877357289996753
numeric__visit_follow_up_needed_90d,0.38650062200465046,0.38650062200465046
categorical__case_status_Closed,0.3763719568641145,0.3763719568641145
numeric__unresolved_incidents_cumulative,0.36915794357259146,0.36915794357259146
numeric__process_recent_90d_count,-0.34953893917380574,0.34953893917380574
numeric__process_progress_flags_90d,0.34175862389890077,0.34175862389890077
numeric__process_avg_session_duration_90d,-0.3170353414443003,0.3170353414443003
