feature,coefficient,abs_coefficient
numeric__latest_attendance_rate,-1.5896517761263957,1.5896517761263957
numeric__process_positive_end_state_share_90d,-0.9410445255439027,0.9410445255439027
numeric__avg_energy_level_score_90d,-0.9195460211785536,0.9195460211785536
numeric__latest_general_health_score,0.6718927289637217,0.6718927289637217
numeric__latest_energy_level_score,0.6440771592397052,0.6440771592397052
numeric__latest_sleep_quality_score,-0.640602587659149,0.640602587659149
categorical__initial_risk_level_Medium,0.5687630081948755,0.5687630081948755
categorical__initial_risk_level_Critical,-0.5667971403747767,0.5667971403747767
numeric__family_vulnerability_flag_count,0.52909015468897,0.52909015468897
numeric__incident_recent_90d_count,0.5013351927001807,0.5013351927001807
numeric__home_visit_recent_90d_supportive_count,-0.4830379100516692,0.4830379100516692
numeric__latest_nutrition_score,0.46340646598650087,0.46340646598650087
categorical__latest_completion_status_InProgress,0.42820210227169264,0.42820210227169264
numeric__avg_general_health_score_90d,0.4280865310173214,0.4280865310173214
numeric__home_visit_supportive_share_90d,-0.42326383274069207,0.42326383274069207
categorical__latest_completion_status_Completed,-0.42165220400414144,0.42165220400414144
numeric__avg_attendance_rate_90d,-0.4091096710591972,0.4091096710591972
categorical__case_status_Active,-0.3906346517055066,0.3906346517055066
numeric__incident_recent_30d_count,-0.38305183631755124,0.38305183631755124
categorical__initial_risk_level_High,0.36827618846347393,0.36827618846347393
