feature,coefficient,abs_coefficient
numeric__total_resolved_value_lifetime,-1590.356796704726,1590.356796704726
categorical__acquisition_channel_SocialMedia,564.9040237926091,564.9040237926091
numeric__channel_diversity_lifetime,494.5615834198713,494.5615834198713
numeric__trailing_365d_recurring_donation_count,-461.93983293198824,461.93983293198824
numeric__trailing_365d_total_resolved_value,441.2317731296093,441.2317731296093
categorical__supporter_type_MonetaryDonor,439.91670355219196,439.91670355219196
categorical__country_USA,-428.75671667142495,428.75671667142495
categorical__country_Canada,423.46165836311707,423.46165836311707
numeric__donation_count_lifetime,415.9163189470174,415.9163189470174
numeric__monetary_donation_count_lifetime,377.4903025476498,377.4903025476498
numeric__non_monetary_donation_count_lifetime,376.0388026755827,376.0388026755827
categorical__acquisition_channel_Event,-327.0044868557732,327.0044868557732
numeric__total_monetary_amount_lifetime,296.81111032092997,296.81111032092997
categorical__supporter_type_SocialMediaAdvocate,-290.0623263137413,290.0623263137413
numeric__donation_active_days_lifetime,-258.7068153744151,258.7068153744151
categorical__acquisition_channel_Church,251.59766330282972,251.59766330282972
numeric__avg_monetary_amount_lifetime,250.99914740154463,250.99914740154463
numeric__donation_type_diversity_lifetime,-244.29627702316625,244.29627702316625
numeric__social_referral_donation_count_lifetime,239.11221601493153,239.11221601493153
categorical__country_Singapore,227.64428760935635,227.64428760935635
