feature,coefficient,abs_coefficient
numeric__home_visit_follow_up_share_90d,2.0784835610947456,2.0784835610947456
numeric__latest_nutrition_score,-1.7070585196406947,1.7070585196406947
categorical__initial_risk_level_Low,-1.6541212796708729,1.6541212796708729
numeric__avg_sleep_quality_score_90d,-1.6370161254821538,1.6370161254821538
numeric__latest_attendance_rate,1.1190438621737262,1.1190438621737262
categorical__initial_risk_level_Critical,1.0652373164470519,1.0652373164470519
numeric__avg_nutrition_score_90d,1.0254691299832033,1.0254691299832033
numeric__process_progress_share_90d,-0.7944181929225044,0.7944181929225044
categorical__initial_risk_level_High,0.7468349212327235,0.7468349212327235
numeric__visit_follow_up_needed_90d,-0.7276614524467793,0.7276614524467793
numeric__home_visit_recent_90d_unfavorable_count,0.693194372039925,0.693194372039925
numeric__high_severity_incidents_90d,-0.682963986521651,0.682963986521651
numeric__process_concerns_share_90d,-0.5005247497153591,0.5005247497153591
numeric__incident_recent_30d_count,0.4680298498492404,0.4680298498492404
numeric__latest_energy_level_score,0.4191102734164687,0.4191102734164687
categorical__case_category_Neglected,-0.4179613778594037,0.4179613778594037
numeric__latest_general_health_score,-0.3964886257513552,0.3964886257513552
numeric__avg_energy_level_score_90d,0.3944875912511182,0.3944875912511182
numeric__incident_recent_90d_count,-0.39241076806060116,0.39241076806060116
numeric__process_referrals_90d,0.3896682204320056,0.3896682204320056
