feature,coefficient,abs_coefficient
numeric__active_residents,0.6151369896238816,0.6151369896238816
numeric__capacity_gap,-0.31126557665371163,0.31126557665371163
numeric__capacity_girls,0.3038714129705892,0.3038714129705892
categorical__safehouse_name_Lighthouse Safehouse 9,-0.07225057196643446,0.07225057196643446
categorical__safehouse_code_SH09,-0.07225057196642136,0.07225057196642136
categorical__city_General Santos,-0.07225057196641918,0.07225057196641918
categorical__region_Mindanao,-0.061637048865006844,0.061637048865006844
numeric__capacity_utilization_ratio,0.056080901420518296,0.056080901420518296
categorical__city_Quezon City,0.04271917932251432,0.04271917932251432
categorical__safehouse_code_SH01,0.04271917932251254,0.04271917932251254
categorical__safehouse_name_Lighthouse Safehouse 1,0.042719179322510396,0.042719179322510396
categorical__region_Visayas,0.034031438081580344,0.034031438081580344
categorical__region_Luzon,0.027605610783393925,0.027605610783393925
categorical__safehouse_name_Lighthouse Safehouse 3,0.024666356694264223,0.024666356694264223
categorical__city_Davao City,0.02466635669426375,0.02466635669426375
categorical__safehouse_code_SH03,0.02466635669426068,0.02466635669426068
categorical__safehouse_code_SH08,-0.0242379590092448,0.0242379590092448
categorical__safehouse_name_Lighthouse Safehouse 8,-0.024237959009239602,0.024237959009239602
categorical__city_Tacloban,-0.024237959009237215,0.024237959009237215
categorical__safehouse_code_SH04,0.022026821023012056,0.022026821023012056
