feature,coefficient,abs_coefficient
numeric__shares,0.05577007543179633,0.05577007543179633
numeric__forwards,0.04911882281565143,0.04911882281565143
numeric__comments,-0.01988537701840556,0.01988537701840556
numeric__click_throughs,0.015413943401544937,0.015413943401544937
numeric__engagement_total,0.013750942351181747,0.013750942351181747
numeric__likes,-0.012856004361773391,0.012856004361773391
numeric__post_hour,-0.01266400733019164,0.01266400733019164
numeric__saves,-0.00927775170043738,0.00927775170043738
numeric__caption_length,-0.007502735818733719,0.007502735818733719
numeric__days_since_previous_post_on_platform,-0.006348701793376338,0.006348701793376338
categorical__features_resident_story_False,-0.005854500201099038,0.005854500201099038
numeric__num_hashtags,-0.005789993700783451,0.005789993700783451
numeric__profile_visits,-0.005686634276016152,0.005686634276016152
categorical__post_type_EventPromotion,-0.005588555074752718,0.005588555074752718
categorical__post_type_ImpactStory,0.00529349416574983,0.00529349416574983
categorical__post_type_ThankYou,-0.0045038728624558905,0.0045038728624558905
categorical__post_type_Campaign,0.0037716930300261773,0.0037716930300261773
categorical__post_type_EducationalContent,-0.0036228466395093325,0.0036228466395093325
categorical__features_resident_story_True,0.003537775574866751,0.003537775574866751
categorical__has_campaign_link_False,-0.003299355578154645,0.003299355578154645
