pipeline_name,model_name,sample_count,positive_rate,mean_score,brier_score,expected_calibration_error,bin_count,max_calibration_error
best_posting_time,logistic_regression,163.0,0.6380368098159509,0.5462623098166386,0.20802946443291123,0.1197973982105033,10.0,
capacity_pressure,random_forest_classifier,117.0,0.1111111111111111,0.11376068376068377,4.529914529914534e-05,0.0027350427350427272,3.0,
case_prioritization,random_forest_classifier,715.0,0.29790209790209793,0.5658531468531468,0.27460905594405594,0.26795104895104893,10.0,
counseling_progress,random_forest_classifier,485.0,0.4556701030927835,0.4897938144329897,0.257408762886598,0.1064123711340206,10.0,
donor_retention,logistic_regression,12.0,0.5,0.3948587884382903,0.20657189653872418,0.3153626122073708,10.0,
donor_upgrade,random_forest_classifier,295.0,0.2305084745762712,0.1916440677966102,0.11585177966101694,0.07113559322033898,9.0,
education_improvement,logistic_regression,653.0,0.07197549770290965,0.07957620156389128,0.027307838552851134,0.007600703860981628,10.0,
home_visitation_outcome,dummy_classifier,427.0,0.21779859484777517,0.227124183006536,0.17044933352461672,0.009325588158760778,1.0,
next_donation_amount,random_forest_regressor,134.0,,,,,0.0,
reintegration_readiness,random_forest_classifier,777.0,0.011583011583011582,0.018455598455598455,0.01123880308880309,0.009987129987129986,7.0,
resident_risk,logistic_regression,777.0,0.04633204633204633,0.11125141763759658,0.06709693027350946,0.06491937130555026,10.0,
resource_demand,random_forest_regressor,117.0,,,,,0.0,
social_media_conversion,random_forest_classifier,163.0,0.6380368098159509,0.6595705521472393,0.058165030674846616,0.0656441717791411,10.0,
